AD_North_East	1.601554,42.546245
AE_North_East	53.847818,23.424076
AF_North_East	67.709953,33.93911
AG_North_West	-61.796428,17.060816
AI_North_West	-63.068615,18.220554
AL_North_East	20.168331,41.153332
AM_North_East	45.038189,40.069099
AN_North_West	-69.060087,12.226079
AO_South_East	17.873887,-11.202692
AQ_South_West	-0.071389,-75.250973
AR_South_West	-63.616672,-38.416097
AS_South_West	-170.132217,-14.270972
AT_North_East	14.550072,47.516231
AU_South_East	133.775136,-25.274398
AW_North_West	-69.968338,12.52111
AZ_North_East	47.576927,40.143105
BA_North_East	17.679076,43.915886
BB_North_West	-59.543198,13.193887
BD_North_East	90.356331,23.684994
BE_North_East	4.469936,50.503887
BF_North_West	-1.561593,12.238333
BG_North_East	25.48583,42.733883
BH_North_East	50.637772,25.930414
BI_South_East	29.918886,-3.373056
BJ_North_East	2.315834,9.30769
BM_North_West	-64.75737,32.321384
BN_North_East	114.727669,4.535277
BO_South_West	-63.588653,-16.290154
BR_South_West	-51.92528,-14.235004
BS_North_West	-77.39628,25.03428
BT_North_East	90.433601,27.514162
BV_South_East	3.413194,-54.423199
BW_South_East	24.684866,-22.328474
BY_North_East	27.953389,53.709807
BZ_North_West	-88.49765,17.189877
CA_North_West	-106.346771,56.130366
CC_South_East	96.870956,-12.164165
CD_South_East	21.758664,-4.038333
CF_North_East	20.939444,6.611111
CG_South_East	15.827659,-0.228021
CH_North_East	8.227512,46.818188
CI_North_West	-5.54708,7.539989
CK_South_West	-159.777671,-21.236736
CL_South_West	-71.542969,-35.675147
CM_North_East	12.354722,7.369722
CN_North_East	104.195397,35.86166
CO_North_West	-74.297333,4.570868
CR_North_West	-83.753428,9.748917
CU_North_West	-77.781167,21.521757
CV_North_West	-24.013197,16.002082
CX_South_East	105.690449,-10.447525
CY_North_East	33.429859,35.126413
CZ_North_East	15.472962,49.817492
DE_North_East	10.451526,51.165691
DJ_North_East	42.590275,11.825138
DK_North_East	9.501785,56.26392
DM_North_West	-61.370976,15.414999
DO_North_West	-70.162651,18.735693
DZ_North_East	1.659626,28.033886
EC_South_West	-78.183406,-1.831239
EE_North_East	25.013607,58.595272
EG_North_East	30.802498,26.820553
EH_North_West	-12.885834,24.215527
ER_North_East	39.782334,15.179384
ES_North_West	-3.74922,40.463667
ET_North_East	40.489673,9.145
FI_North_East	25.748151,61.92411
FJ_South_East	179.414413,-16.578193
FK_South_West	-59.523613,-51.796253
FM_North_East	150.550812,7.425554
FO_North_West	-6.911806,61.892635
FR_North_East	2.213749,46.227638
GA_South_East	11.609444,-0.803689
GB_North_West	-3.435973,55.378051
GD_North_West	-61.604171,12.262776
GE_North_East	43.356892,42.315407
GF_North_West	-53.125782,3.933889
GG_North_West	-2.585278,49.465691
GH_North_West	-1.023194,7.946527
GI_North_West	-5.345374,36.137741
GL_North_West	-42.604303,71.706936
GM_North_West	-15.310139,13.443182
GN_North_West	-9.696645,9.945587
GP_North_West	-62.067641,16.995971
GQ_North_East	10.267895,1.650801
GR_North_East	21.824312,39.074208
GS_South_West	-36.587909,-54.429579
GT_North_West	-90.230759,15.783471
GU_North_East	144.793731,13.444304
GW_North_West	-15.180413,11.803749
GY_North_West	-58.93018,4.860416
GZ_North_East	34.308825,31.354676
HK_North_East	114.109497,22.396428
HM_South_East	73.504158,-53.08181
HN_North_West	-86.241905,15.199999
HR_North_East	15.2,45.1
HT_North_West	-72.285215,18.971187
