tweet_id,(positive_count, neutral_count, negative_count)
2401,(6, 0, 0)
2402,(6, 0, 0)
2403,(0, 6, 0)
2404,(6, 0, 0)
2405,(0, 0, 6)
2406,(6, 0, 0)
2407,(0, 0, 6)
2408,(0, 6, 0)
2409,(0, 6, 0)
2410,(0, 0, 6)
2411,(0, 6, 0)
2412,(6, 0, 0)
2413,(6, 0, 0)
2414,(0, 6, 0)
2415,(6, 0, 0)
2416,(0, 6, 0)
2417,(0, 0, 6)
2418,(0, 0, 0)
2419,(0, 0, 6)
2420,(0, 0, 6)
2421,(6, 0, 0)
2422,(0, 0, 0)
2423,(6, 0, 0)
2424,(0, 0, 0)
2425,(0, 0, 6)
2426,(6, 0, 0)
2427,(6, 0, 0)
2428,(0, 6, 0)
2429,(6, 0, 0)
2430,(6, 0, 0)
2431,(0, 6, 0)
2432,(6, 0, 0)
2433,(0, 6, 0)
2434,(0, 0, 6)
2435,(6, 0, 0)
2436,(0, 6, 0)
2437,(0, 0, 6)
2438,(0, 0, 0)
2439,(6, 0, 0)
2440,(0, 0, 6)
2441,(6, 0, 0)
2442,(6, 0, 0)
2443,(0, 6, 0)
2444,(6, 0, 0)
2445,(0, 0, 0)
2446,(0, 0, 6)
2447,(6, 0, 0)
2448,(6, 0, 0)
2449,(0, 6, 0)
2450,(6, 0, 0)
2451,(6, 0, 0)
2452,(0, 0, 6)
2453,(6, 0, 0)
2454,(6, 0, 0)
2455,(6, 0, 0)
2456,(0, 6, 0)
2457,(0, 0, 0)
2458,(0, 6, 0)
2459,(6, 0, 0)
2460,(6, 0, 0)
2461,(6, 0, 0)
2462,(0, 6, 0)
2463,(0, 0, 6)
2464,(0, 6, 0)
2465,(0, 0, 0)
2466,(6, 0, 0)
2467,(6, 0, 0)
2468,(0, 6, 0)
2469,(6, 0, 0)
2470,(0, 0, 6)
2471,(0, 0, 6)
2472,(0, 0, 0)
2473,(0, 6, 0)
2474,(0, 6, 0)
2475,(6, 0, 0)
2476,(6, 0, 0)
2477,(0, 6, 0)
2478,(6, 0, 0)
2479,(0, 6, 0)
2480,(0, 6, 0)
2481,(6, 0, 0)
2482,(0, 6, 0)
2484,(0, 0, 0)
2486,(0, 6, 0)
2487,(6, 0, 0)
2488,(6, 0, 0)
2489,(0, 6, 0)
2490,(0, 0, 6)
2492,(0, 0, 6)
2493,(6, 0, 0)
2494,(0, 0, 0)
2495,(6, 0, 0)
2496,(0, 6, 0)
2497,(0, 6, 0)
2498,(0, 0, 0)
2499,(0, 6, 0)
2500,(0, 0, 0)
2501,(0, 0, 0)
2503,(0, 6, 0)
2504,(6, 0, 0)
2505,(6, 0, 0)
2506,(0, 6, 0)
2507,(6, 0, 0)
2508,(6, 0, 0)
2509,(6, 0, 0)
2510,(6, 0, 0)
2511,(0, 6, 0)
2513,(6, 0, 0)
2515,(0, 6, 0)
2516,(0, 6, 0)
2517,(6, 0, 0)
2518,(6, 0, 0)
2519,(0, 0, 0)
2520,(0, 6, 0)
2521,(6, 0, 0)
2522,(0, 6, 0)
2523,(0, 6, 0)
2524,(6, 0, 0)
2525,(0, 6, 0)
2526,(6, 0, 0)
2527,(6, 0, 0)
2528,(0, 0, 6)
2530,(0, 0, 6)
2531,(6, 0, 0)
2532,(6, 0, 0)
2533,(0, 6, 0)
2534,(0, 6, 0)
2535,(0, 0, 6)
2536,(0, 0, 6)
2537,(0, 6, 0)
2538,(6, 0, 0)
2539,(0, 0, 6)
2540,(0, 0, 6)
2541,(0, 6, 0)
2542,(0, 0, 0)
2543,(6, 0, 0)
2544,(0, 0, 6)
2545,(6, 0, 0)
2546,(6, 0, 0)
2547,(6, 0, 0)
2548,(0, 0, 6)
2550,(0, 0, 6)
2551,(6, 0, 0)
2552,(0, 0, 6)
2553,(6, 0, 0)
2554,(0, 0, 6)
2555,(0, 0, 6)
2556,(6, 0, 0)
2557,(0, 6, 0)
2558,(0, 6, 0)
2559,(6, 0, 0)
2561,(0, 0, 6)
2562,(0, 6, 0)
2563,(0, 6, 0)
2564,(0, 0, 0)
2565,(6, 0, 0)
2566,(0, 6, 0)
2567,(0, 6, 0)
2569,(6, 0, 0)
2570,(6, 0, 0)
2571,(6, 0, 0)
2572,(0, 0, 6)
2573,(0, 0, 6)
2574,(6, 0, 0)
2575,(0, 0, 0)
2576,(6, 0, 0)
2577,(6, 0, 0)
2578,(0, 0, 6)
2579,(0, 0, 0)
2580,(0, 6, 0)
2581,(6, 0, 0)
2582,(0, 6, 0)
2583,(6, 0, 0)
2584,(6, 0, 0)
2585,(0, 6, 0)
2586,(6, 0, 0)
2587,(6, 0, 0)
2588,(0, 6, 0)
2589,(0, 6, 0)
2590,(0, 0, 0)
2591,(0, 0, 0)
2592,(0, 6, 0)
2593,(6, 0, 0)
2594,(0, 6, 0)
2595,(6, 0, 0)
2596,(6, 0, 0)
2597,(6, 0, 0)
2598,(6, 0, 0)
2599,(0, 0, 0)
2600,(6, 0, 0)
2601,(0, 0, 6)
2602,(6, 0, 0)
2603,(6, 0, 0)
2604,(0, 0, 0)
2605,(6, 0, 0)
2606,(0, 0, 6)
2607,(0, 6, 0)
2608,(0, 0, 0)
2609,(6, 0, 0)
2610,(6, 0, 0)
2611,(6, 0, 0)
2612,(6, 0, 0)
2613,(0, 6, 0)
2614,(0, 6, 0)
2615,(6, 0, 0)
2616,(6, 0, 0)
2617,(0, 0, 0)
2618,(0, 0, 6)
2619,(6, 0, 0)
2620,(6, 0, 0)
2621,(0, 6, 0)
2622,(6, 0, 0)
2623,(6, 0, 0)
2624,(0, 0, 6)
2625,(6, 0, 0)
2626,(0, 0, 6)
2627,(6, 0, 0)
2628,(6, 0, 0)
2629,(6, 0, 0)
2630,(0, 6, 0)
2631,(6, 0, 0)
2632,(6, 0, 0)
2633,(6, 0, 0)
2634,(6, 0, 0)
2635,(0, 0, 6)
2636,(0, 0, 0)
2637,(0, 0, 6)
2638,(0, 0, 0)
2639,(6, 0, 0)
2640,(6, 0, 0)
2641,(0, 6, 0)
2642,(6, 0, 0)
2643,(0, 6, 0)
2644,(0, 6, 0)
2645,(0, 0, 0)
2646,(6, 0, 0)
2647,(0, 6, 0)
2648,(6, 0, 0)
2649,(0, 6, 0)
2651,(6, 0, 0)
2652,(6, 0, 0)
2653,(0, 6, 0)
2654,(0, 0, 0)
2655,(6, 0, 0)
2656,(6, 0, 0)
2657,(0, 0, 6)
2659,(0, 6, 0)
2660,(6, 0, 0)
2661,(0, 6, 0)
2662,(0, 6, 0)
2663,(6, 0, 0)
2664,(6, 0, 0)
2665,(6, 0, 0)
2666,(6, 0, 0)
2667,(0, 0, 6)
2668,(0, 0, 6)
2669,(6, 0, 0)
2670,(0, 0, 6)
2671,(0, 0, 6)
2672,(0, 6, 0)
2673,(0, 0, 0)
2674,(6, 0, 0)
2675,(6, 0, 0)
2676,(6, 0, 0)
2677,(0, 0, 6)
2678,(0, 0, 0)
2679,(0, 0, 6)
2680,(0, 0, 0)
2682,(0, 6, 0)
2683,(6, 0, 0)
2684,(6, 0, 0)
2685,(0, 6, 0)
2686,(6, 0, 0)
2688,(6, 0, 0)
2690,(0, 0, 0)
2691,(0, 0, 6)
2692,(0, 0, 0)
2693,(6, 0, 0)
2694,(0, 0, 6)
2695,(6, 0, 0)
2696,(6, 0, 0)
2697,(0, 6, 0)
2698,(0, 6, 0)
2699,(6, 0, 0)
2700,(6, 0, 0)
2701,(0, 0, 6)
2702,(6, 0, 0)
